business_id,name,city,state,stars,review_count,is_open,categories,rating_tier,pricerange2,delivery,takeout,reservations,outdoorseating,wifi
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,PA,4.0,80,1,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",high,1,False,True,,False,u'free'
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,Green Lane,PA,4.5,13,1,"Brewpubs, Breweries, Food",top,,,True,,,
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,Ashland City,TN,2.0,6,1,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants",low,1,True,True,False,True,u'no'
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,Affton,MO,3.0,19,0,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek",medium,1,False,True,False,True,u'free'
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,Nashville,TN,1.5,10,1,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",low,1,True,True,False,True,u'no'
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,Tampa Bay,FL,4.0,10,1,"Vietnamese, Food, Restaurants, Food Trucks",high,,,,False,None,
il_Ro8jwPlHresjw9EGmBg,Denny's,Indianapolis,IN,2.5,28,1,"American (Traditional), Restaurants, Diners, Breakfast & Brunch",low,1,True,True,False,False,u'no'
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,Largo,FL,4.5,100,0,"Food, Delis, Italian, Bakeries, Restaurants",top,1,True,True,False,False,u'no'
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Philadelphia,PA,4.0,245,1,"Sushi Bars, Restaurants, Japanese",high,2,True,True,True,True,'free'
ROeacJQwBeh05Rqg7F6TCg,BAP,Philadelphia,PA,4.5,205,1,"Korean, Restaurants",top,1,None,True,False,None,u'no'
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,Edmonton,AB,4.0,40,0,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife",high,2,False,True,False,False,u'free'
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,Indianapolis,IN,4.0,20,1,"Steakhouses, Asian Fusion, Restaurants",high,2,True,True,,,
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,Reno,NV,2.5,339,1,"Restaurants, Italian",low,2,True,True,True,True,u'free'
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,Nashville,TN,4.0,6,0,"Hot Dogs, Restaurants",high,1,False,True,False,False,u'no'
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,Nashville,TN,4.0,161,0,"Restaurants, Japanese, Seafood",high,,None,None,True,False,u'free'
QdN72BWoyFypdGJhhI5r7g,Bar One,Philadelphia,PA,4.0,65,0,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",high,2,True,True,False,False,u'free'
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,White House,TN,3.5,8,1,"Pizza, Chicken Wings, Sandwiches, Restaurants",medium,1,,,,,
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,Philadelphia,PA,3.0,41,0,"Pizza, Restaurants, Salad, Soup",medium,1,True,True,False,True,'no'
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,Ardmore,PA,3.5,109,1,"Pizza, Restaurants",medium,1,True,True,False,False,u'no'
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,Philadelphia,PA,3.5,65,1,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",medium,2,True,True,,True,
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,Exton,PA,2.5,20,0,"Restaurants, Burgers",low,2,False,True,,True,u'free'
fSCNwMtNNQY9QT69Cj9fiA,Sierra Pro Events,Sparks,NV,5.0,7,1,"Musicians, DJs, Karaoke, Event Planning & Services, Nightlife",top,,,,,,u'no'
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,Alton,IL,3.0,94,1,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops",medium,2,False,True,True,True,'free'
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,AZ,3.0,23,0,"Restaurants, Chinese",medium,2,False,True,True,False,'no'
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,Edmonton,AB,4.0,12,1,"Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes",high,2,,True,,False,u'free'
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,Nashville,TN,3.5,159,0,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners",medium,2,True,True,False,True,'free'
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,Bala Cynwyd,PA,5.0,12,1,"Restaurants, Italian",top,,None,None,,,
5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,Edmonton,AB,4.0,23,1,"Specialty Food, Bakeries, Food, Health Markets",high,2,False,True,,,
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,Edmonton,AB,5.0,20,0,"Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food",top,1,False,True,True,False,u'free'
0qNpTGTcqPwOLi2hADx4Xw,Charlie's Market,Tampa,FL,3.0,9,1,"Food, Grocery, Convenience Stores",medium,1,,True,,,
txyXRytGjwOXvS8s4sc-WA,Smoothie King,Tucson,AZ,3.0,29,1,"Vitamins & Supplements, Ice Cream & Frozen Yogurt, Food, Juice Bars & Smoothies, Shopping",medium,2,True,True,,,u'free'
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,Tampa,FL,4.0,23,0,"Restaurants, American (New), Italian",high,2,False,True,True,True,'no'
JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,Tampa,FL,4.0,35,0,"Restaurants, Pizza",high,1,True,True,False,False,u'no'
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,Harvey,LA,2.5,38,0,"Restaurants, Soup, Seafood, Burgers",low,2,False,True,True,False,'no'
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,Indianapolis,IN,3.5,257,1,"Sports Bars, American (New), American (Traditional), Nightlife, Bars, Restaurants",medium,2,False,True,False,True,'free'
L_TT0BFmFwORAMaA83K54A,Village Tap Room,Indianapolis,IN,2.5,23,0,"Gastropubs, Cocktail Bars, Beer Bar, Bars, Restaurants, Nightlife",low,2,False,False,False,False,u'no'
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,West Chester,PA,3.0,114,0,"Seafood, Restaurants, Bars, Nightlife, Cocktail Bars, American (New), Pubs",medium,2,False,True,True,True,u'no'
lOP3HxdUTaq0eXhwR_KC-w,Sweet Things Chocolates,Indianapolis,IN,4.0,13,1,"Chocolatiers & Shops, Specialty Food, Candy Stores, Food",high,2,True,True,,,
KWA2qtdwVEkMpd5soSKaGA,Publix Super Market,Hudson,FL,3.5,7,0,"Food, Grocery",medium,2,,,,,
gbN4RuUiiBxQ2GBFQ2p3Cw,Mr. Margarita,Fernley,NV,5.0,7,1,"Food Trucks, Food",top,1,False,True,,,
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,Williamstown,NJ,2.5,29,1,"American (Traditional), Bars, Nightlife, Sports Bars, Restaurants",low,1,False,True,False,False,'free'
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,Glenolden,PA,4.5,25,1,"American (Traditional), Sports Bars, Restaurants, Bars, Nightlife, Steakhouses, Salad, Beer Bar",top,,True,True,False,None,u'free'
-4dYswJy7SPcbcERvitmIg,Pathmark,Philadelphia,PA,2.5,34,0,"Food, Grocery",low,2,,,,,
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,Tucson,AZ,3.5,9,0,"Italian, Restaurants",medium,2,False,True,False,True,
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,Wesley Chapel,FL,4.5,95,1,"Burgers, Sports Bars, Bars, Lounges, Restaurants, Salad, Wraps, Nightlife, American (New)",top,2,True,True,True,False,u'free'
7clCBgNbd-x2Wj96lZ6Mjw,Bier Brewery and Tap Room,Indianapolis,IN,4.5,139,1,"Food, Beer, Wine & Spirits, Breweries",top,2,False,True,,,
ppFCk9aQkM338Rgwpl2F5A,Wawa,Philadelphia,PA,3.0,56,1,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",medium,1,True,True,False,False,u'free'
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,Burlington,NJ,3.5,6,0,"Restaurants, Japanese, Sushi Bars, Asian Fusion",medium,2,False,True,True,False,
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,Santa Barbara,CA,4.0,389,1,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",high,2,None,True,False,True,u'no'
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,New Orleans,LA,4.5,350,1,"Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces",top,2,True,True,True,True,u'free'
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,Camden,NJ,4.5,6,1,"Juice Bars & Smoothies, Restaurants, Fruits & Veggies, Salad, Specialty Food, Food",top,,,,,,
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,Nashville,TN,4.5,593,1,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food",top,2,None,True,False,None,'free'
RK6-cJ9hj53RzOlCBmpT-g,Impasto,Tampa,FL,5.0,5,1,"Restaurants, Italian, Food Trucks, Food",top,,False,True,,,
pEm4xNCk8d0TF6A1gi-WDQ,TKO DJs,Maplewood,MO,3.5,17,1,"Karaoke, DJs, Event Planning & Services, Party & Event Planning, Nightlife",medium,,,,,,
knQ4vIgx-r85kjlWVVjcpQ,Silver and Blue Outfitters,Reno,NV,4.5,5,1,"Sporting Goods, Sports Wear, Fashion, Restaurants, Fast Food, Sandwiches, Shopping",top,,,,False,,u'no'
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,Saint Louis,MO,3.5,80,0,"American (New), Restaurants, Cafes, Italian, American (Traditional)",medium,2,False,True,True,False,'no'
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,Fairview Heights,IL,2.5,14,1,"Seafood, Restaurants",low,,True,True,,,
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,New Orleans,LA,4.0,382,1,"Restaurants, Seafood, Cajun/Creole",high,2,False,True,False,False,u'free'
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,Wilmington,DE,4.0,23,1,"Mexican, Restaurants",high,1,True,True,False,False,u'no'
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,Treasure Island,FL,4.0,129,1,"Restaurants, French, Moroccan, Seafood, Mediterranean",high,3,True,True,True,True,'free'
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,Saint Louis,MO,4.0,73,1,"Bars, Lounges, American (New), Restaurants, Nightlife, Wine Bars",high,2,True,True,True,True,u'free'
sB45WFgysT617bKWP_WJwA,Budweiser Brewery Experience,Saint Louis,MO,4.5,605,1,"Bars, Beer Gardens, Food, Breweries, Nightlife, Tours, Pubs, Wine Tours, Beer Tours, Hotels & Travel",top,1,,False,,,
Fk1xpM7fjqEJ4paqk5ZFSg,Jamba Juice,Boise,ID,3.0,19,0,"Juice Bars & Smoothies, Food",medium,1,,True,,,u'free'
4dVrWc4Nhuw9apfk9BWEcA,Walmart Supercenter,Tarpon Springs,FL,2.0,29,1,"Grocery, Food, Shopping, Fashion, Drugstores, Department Stores, Discount Store, Electronics",low,2,True,False,,,
kk_oEw1j3xQ-cJaAII8A0Q,Giant Food Store,Blue Bell,PA,3.0,29,1,"Grocery, Food",medium,2,,True,,,
qFX8IdomeBVhDPCSyz2aRg,Nashville Delivers,Brentwood,TN,3.5,7,1,"Couriers & Delivery Services, Local Services, Food, Food Delivery Services",medium,,,,,,
VZzivJEbmHItOxNXJB3SpA,Subway,Brentwood,TN,2.5,14,1,"Sandwiches, Fast Food, Restaurants",low,1,True,True,False,False,
anLQj9AM8vjbcLSIE0iUgg,Papa Murphy's,Tucson,AZ,4.0,22,1,"Pizza, Restaurants",high,1,True,True,False,False,
Cdytv_YhJO0W0Ab8t2xLtg,Nipper's Pub,Woodbury,NJ,3.5,29,1,"Nightlife, Chicken Wings, Pubs, Bars, American (Traditional), Restaurants",medium,1,False,True,False,True,u'no'
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,Philadelphia,PA,3.0,137,1,"Restaurants, Chinese",medium,1,True,True,True,False,u'free'
FRYkg_JvsWU9xIXZsEZcVA,Altamura,New Orleans,LA,3.5,27,0,"Cocktail Bars, Italian, Nightlife, Seafood, Bars, Restaurants",medium,3,False,False,True,True,
9C2rpb56aQvW0ViZHK9sPw,Home Plate Sports Pub,Tucson,AZ,3.5,56,1,"Bars, Restaurants, Sports Bars, Nightlife",medium,1,False,,False,True,u'no'
k0yyD71s2F2eEKWRdkZ6jA,Cold Stone Creamery,Indianapolis,IN,3.0,19,1,"Custom Cakes, Food, Desserts, Cupcakes, Ice Cream & Frozen Yogurt",medium,2,True,True,,,u'free'
dM5OKNzk9AL2aiq-fV-SYg,Walmart Supercenter,Brownsburg,IN,1.5,14,1,"Discount Store, Department Stores, Food, Drugstores, Shopping, Grocery, Fashion, Mobile Phones",low,1,True,False,,,
0vCsslN-TYnDeOSNT4rIfg,Whole Foods Market,Carmel,IN,3.5,44,1,"Food, Organic Stores, Specialty Food, Health Markets, Grocery",medium,3,None,True,,,
zFvqulgAYOpSG2t1v8AZ-w,The Cake Drip,Tampa,FL,4.0,40,1,"Desserts, Do-It-Yourself Food, Food, Patisserie/Cake Shop",high,,False,True,,,
